"site_no","date","sscmgL"
"02358000",1992-11-30,14
"02358000",1991-03-02,13
"02350080",1993-11-29,NA
"02332830",1994-01-20,3
"02337500",1994-08-18,7
"02356980",1994-03-02,9
"02331600",1994-10-04,4
"02358000",1994-03-29,15
"02358000",1994-03-05,17
"02358000",1992-02-20,22
"02333500",1992-04-30,2
"02358000",1991-03-11,17
"02358000",1992-11-25,11
"02338000",1994-03-07,34
"02336300",1994-05-17,11
"02331600",1994-05-18,5
"02353000",1994-03-04,42
"02353000",1992-11-27,15
"02353000",1994-07-18,12
"02358000",1994-03-03,25
"02356980",1994-03-22,3
"02353000",1992-11-20,8
"02333500",1993-12-02,1
"02335870",1993-06-29,21
"02336529",1993-06-22,10
"02335790",1993-06-15,22
"02333500",1992-11-19,4
"02338000",1993-11-17,10
"02358000",1993-01-27,15
"02350900",1993-06-10,7
"02332830",1993-06-14,14
"02335868",1993-06-15,3
"02333500",1992-02-25,556
"02335864",1993-06-15,12
"02358000",1992-02-18,13
"02335870",1993-05-17,8
"02356980",1993-05-24,6
"02350080",1993-05-04,18
"02350080",1993-05-25,12
"02358000",1993-01-27,11
"02343801",1993-07-21,3
"02333500",1993-05-06,10
"02335870",1993-10-13,3
"02350080",1993-06-07,14
"02358000",1992-02-19,32
"02343801",1993-01-28,52
"02350080",1993-09-07,10
"02353000",1991-01-30,38
"02333500",1993-03-25,13
"02338000",1992-12-17,400
"02338000",1993-11-19,19
"02338000",1992-08-19,47
"02356980",1993-06-07,5
"02335000",1993-11-18,5
"02353000",1993-10-08,2
"02358000",1993-01-27,14
"02358000",1992-12-01,15
"02333500",1992-12-17,444
"02353000",1993-06-09,9
"02333500",1991-02-20,243
"02335870",1993-12-14,133
"02353000",1993-07-02,11
"02356980",1993-04-12,17
"02358000",1992-11-25,14
"02358000",1992-02-19,31
"02358000",1992-03-02,14
"02335870",1993-03-29,13
"02333500",1993-09-10,4
"02350080",1993-08-09,16
"02358000",1993-01-27,14
"02338000",1993-12-21,21
"02358000",1993-01-27,15
"02350080",1993-12-06,5
"02358000",1993-12-01,9
"02335870",1993-07-06,11
"02333500",1992-03-17,15
"02353000",1993-04-26,8
"02331600",1993-06-23,30
"02353000",1993-07-02,13
"02350080",1993-12-13,5
"02351890",1993-06-09,18
"02358000",1993-01-27,15
"02358000",1992-12-07,20
"02336300",1993-12-14,91
"02358000",1992-11-25,9
"02353000",1992-08-11,5
"02335870",1993-05-10,8
"02331600",1992-03-17,11
"02353000",1992-09-15,7
"02358000",1992-11-17,10
"02358000",1993-12-01,9
"02350080",1993-03-25,13
"02338000",1990-01-29,75
"02350080",1993-03-16,12
"02335870",1993-06-21,11
"02335910",1993-06-21,2
"02353000",1993-08-11,2
"02356980",1993-04-21,8
"02338000",1993-11-17,11
"02350080",1993-03-03,28
"023358694",1993-11-05,416
"02353000",1993-03-19,21
"02353000",1993-11-12,9
"02353000",1993-10-08,1
"02350080",1993-04-20,19
"02333500",1993-05-06,11
"02353000",1993-04-26,10
"02354500",1993-06-09,17
"02337500",1993-08-12,8
"02332830",1993-08-11,14
"02350080",1993-04-27,15
"02341265",1993-06-17,29
"02358000",1993-03-24,16
"02358000",1992-12-01,18
"02337486",1993-06-16,18
"02331600",1993-05-06,13
"02358000",1992-02-20,24
"02353000",1990-03-24,46
"02332810",1993-06-14,14
"02350080",1993-05-17,14
"02333500",1990-08-06,35
"02338000",1993-10-15,11
"02350079",1993-06-07,17
"02337500",1993-06-16,61
"02353000",1993-12-16,5
"02331600",1993-02-11,5
"02336300",1993-10-13,4
"02356980",1993-03-15,20
"02342111",1993-06-18,15
"02337500",1993-11-19,3
"02338000",1992-05-19,15
"02353000",1993-05-28,9
"02350080",1993-04-14,22
"02332830",1993-09-13,2
"02358000",1992-01-07,3
"02358000",1990-01-24,15
"02358000",1993-12-01,9
"02335000",1993-07-20,4
"02341195",1993-06-16,15
"02332830",1993-11-17,31
"02350080",1993-06-28,40
"02337500",1993-07-21,10
"02335870",1993-11-16,6
"02353000",1992-03-09,12
"02335870",1993-12-07,5
"02358000",1993-12-01,9
"02333500",1992-02-25,524
"02343801",1993-04-08,11
"02358000",1993-03-24,13
"02353000",1993-12-16,8
"02333500",1992-02-25,972
"02350080",1993-06-15,11
"02343801",1993-12-03,6
"02331247",1993-06-14,15
"02333500",1992-02-26,241
"02350080",1993-05-11,22
"02335760",1993-06-21,99
"02349900",1993-06-10,15
"02358000",1993-12-01,7
"02331600",1990-08-06,16
"02331600",1993-06-16,7
"02350080",1993-04-08,26
"02358000",1992-02-19,22
"02358000",1992-02-20,11
"02337500",1993-09-14,8
"02333500",1992-01-30,2
"02336300",1993-05-19,754
"02358000",1992-03-02,14
"02347500",1993-06-24,11
"02338000",1992-12-17,997
"02338000",1993-08-25,24
"02338000",1993-09-14,17
"02333500",1993-10-21,2
"02350070",1993-06-08,23
"02350080",1993-07-06,10
"02358000",1992-11-30,23
"02353000",1993-01-22,20
"02337000",1993-06-21,18
"02337500",1993-05-18,15
"02335870",1993-11-10,8
"02331600",1990-03-17,605
"023358694",1993-05-04,589
"02338000",1992-05-19,17
"02358000",1990-11-02,9
"02349685",1993-06-10,68
"02358000",1992-02-20,18
"02335000",1993-05-20,19
"023415605",1993-06-17,2
"02358000",1993-03-24,12
"02358000",1991-03-05,45
"02337492",1993-06-16,1
"02353000",1993-04-08,11
"02335870",1993-05-03,7
"02353000",1991-04-19,15
